"CubeId";"devkum"
"PublishingDate";"2017-03-01 14:30"

"Date";"D0";"D1";"Value"
"1999-10";"M0";"TRY100";"0.000317"
"1999-10";"M0";"USD1";"1.4876"
"1999-10";"M0";"CAD1";"1.0073"
"1999-10";"M0";"ARS100";"148.7919"
"1999-10";"M0";"BRL100";"75.6695"
"1999-10";"M0";"MXN100";"15.549"
"1999-10";"M0";"ZAR1";"0.2439"
"1999-10";"M0";"JPY100";"1.403333"
"1999-10";"M0";"AUD1";"0.969505"
"1999-10";"M0";"CNY100";"18.01714286"
"1999-10";"M0";"HKD100";"19.147833"
"1999-10";"M0";"KRW100";"0.1235"
"1999-10";"M0";"MYR100";"39.149"
"1999-10";"M0";"NZD1";"0.7656"
"1999-10";"M0";"SGD100";"88.8351"
"1999-10";"M0";"THB100";"3.7812"
"1999-10";"M0";"XDR1";"2.069406"
"1999-10";"M1";"EUR1";"1.6041"
"1999-10";"M1";"GBP1";"2.4971"
"1999-10";"M1";"DKK100";"21.57"
"1999-10";"M1";"NOK100";"19.42"
"1999-10";"M1";"CZK100";"4.3781"
"1999-10";"M1";"HUF100";"0.6274"
"1999-10";"M1";"PLN100";"36.14"
"1999-10";"M1";"RUB100";"5.8"
"1999-10";"M1";"SEK100";"18.47"
"1999-10";"M1";"TRY100";"0.0003171"
"1999-10";"M1";"USD1";"1.5242"
"1999-10";"M1";"CAD1";"1.0354"
"1999-10";"M1";"ARS100";"152.49"
"1999-10";"M1";"BRL100";"78.28"
"1999-10";"M1";"MXN100";"15.89"
"1999-10";"M1";"ZAR1";"0.248"
"1999-10";"M1";"JPY100";"1.4524"
"1999-10";"M1";"AUD1";"0.9816"
"1999-10";"M1";"CNY100";"18.424"
"1999-10";"M1";"HKD100";"19.6228"
"1999-10";"M1";"KRW100";"0.1271"
"1999-10";"M1";"MYR100";"40.12"
"1999-10";"M1";"NZD1";"0.7786"
"1999-10";"M1";"SGD100";"91.7088"
"1999-10";"M1";"THB100";"3.9487"
"1999-10";"M1";"XDR1";"2.11789"
"1999-11";"M0";"EUR1";"1.6049"
"1999-11";"M0";"GBP1";"2.517"
"1999-11";"M0";"DKK100";"21.5755"
"1999-11";"M0";"NOK100";"19.5686"
"1999-11";"M0";"CZK100";"4.4067"
"1999-11";"M0";"HUF100";"0.6284"
"1999-11";"M0";"PLN100";"36.5136"
"1999-11";"M0";"RUB100";"5.8595"
"1999-11";"M0";"SEK100";"18.5805"
"1999-11";"M0";"TRY100";"0.00031"
"1999-11";"M0";"USD1";"1.5504"
"1999-11";"M0";"CAD1";"1.0563"
"1999-11";"M0";"ARS100";"155.0782"
"1999-11";"M0";"BRL100";"80.3541"
"1999-11";"M0";"MXN100";"16.4959"
"1999-11";"M0";"ZAR1";"0.2524"
"1999-11";"M0";"JPY100";"1.480155"
"1999-11";"M0";"AUD1";"0.9911"
"1999-11";"M0";"CNY100";"18.78295455"
"1999-11";"M0";"HKD100";"19.951691"
"1999-11";"M0";"KRW100";"0.1319"
"1999-11";"M0";"MYR100";"40.8027"
"1999-11";"M0";"NZD1";"0.7939"
"1999-11";"M0";"SGD100";"92.8434"
"1999-11";"M0";"THB100";"4.0036"
"1999-11";"M0";"XDR1";"2.133292"
"1999-11";"M1";"EUR1";"1.6024"
"1999-11";"M1";"GBP1";"2.5451"
"1999-11";"M1";"DKK100";"21.53"
"1999-11";"M1";"NOK100";"19.7"
"1999-11";"M1";"CZK100";"4.4385"
"1999-11";"M1";"HUF100";"0.631"
"1999-11";"M1";"PLN100";"37.53"
"1999-11";"M1";"RUB100";"5.93"
"1999-11";"M1";"SEK100";"18.65"
"1999-11";"M1";"TRY100";"0.0003066"
"1999-11";"M1";"USD1";"1.5877"
"1999-11";"M1";"CAD1";"1.0766"
"1999-11";"M1";"ARS100";"158.8"
"1999-11";"M1";"BRL100";"82.61"
"1999-11";"M1";"MXN100";"16.83"
"1999-11";"M1";"ZAR1";"0.2568"
"1999-11";"M1";"JPY100";"1.5576"
"1999-11";"M1";"AUD1";"1.0114"
"1999-11";"M1";"CNY100";"19.224"
"1999-11";"M1";"HKD100";"20.4442"
"1999-11";"M1";"KRW100";"0.137"
"1999-11";"M1";"MYR100";"41.78"
"1999-11";"M1";"NZD1";"0.8121"
"1999-11";"M1";"SGD100";"94.4778"
"1999-11";"M1";"THB100";"4.07"
"1999-11";"M1";"XDR1";"2.18045"
"1999-12";"M0";"EUR1";"1.6012"
"1999-12";"M0";"GBP1";"2.5526"
"1999-12";"M0";"DKK100";"21.5173"
"1999-12";"M0";"NOK100";"19.755"
"1999-12";"M0";"CZK100";"4.4408"
"1999-12";"M0";"HUF100";"0.6298"
"1999-12";"M0";"PLN100";"38.0173"
"1999-12";"M0";"RUB100";"5.8623"
"1999-12";"M0";"SEK100";"18.6295"
"1999-12";"M0";"TRY100";"0.000299"
"1999-12";"M0";"USD1";"1.5819"
"1999-12";"M0";"CAD1";"1.0727"
"1999-12";"M0";"ARS100";"158.2345"
"1999-12";"M0";"BRL100";"85.8127"
"1999-12";"M0";"MXN100";"16.8073"
"1999-12";"M0";"ZAR1";"0.2571"
"1999-12";"M0";"JPY100";"1.542305"
"1999-12";"M0";"AUD1";"1.012173"
"1999-12";"M0";"CNY100";"19.12947826"
"1999-12";"M0";"HKD100";"20.353318"
"1999-12";"M0";"KRW100";"0.1392"
"1999-12";"M0";"MYR100";"41.6305"
"1999-12";"M0";"NZD1";"0.8042"
"1999-12";"M0";"SGD100";"94.5151"
"1999-12";"M0";"THB100";"4.1435"
"1999-12";"M0";"XDR1";"2.173458"
"1999-12";"M1";"EUR1";"1.6059"
"1999-12";"M1";"GBP1";"2.5844"
"1999-12";"M1";"DKK100";"21.58"
"1999-12";"M1";"NOK100";"19.88"
